Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
21/01/2023,2022,Crystal Palace,Newcastle,4.4,3.5,1.85,0.0,0.0,D,0,2,1,8,0,2,40,20,2,0,7,1,2,0,40,20
21/01/2023,2022,West Ham,Everton,1.8,3.75,4.75,2.0,0.0,H,0,3,1,6,0,2,33,11,0,1,1,4,0,1,33,11
21/01/2023,2022,Southampton,Aston Villa,2.88,3.25,2.55,0.0,1.0,A,0,3,2,8,0,2,11,33,2,1,4,5,1,1,11,33
21/01/2023,2022,Leicester,Brighton,3.6,3.5,2.05,2.0,2.0,D,0,3,0,5,0,1,22,22,3,0,10,4,2,0,22,22
21/01/2023,2022,Bournemouth,Nott'm Forest,2.75,3.1,2.75,1.0,1.0,D,1,2,5,5,1,1,33,22,1,2,1,8,0,2,33,22
21/01/2023,2022,Liverpool,Chelsea,1.85,3.75,4.0,0.0,0.0,D,2,1,6,4,1,0,67,22,0,2,2,4,0,0,67,22
19/01/2023,2022,Man City,Tottenham,1.36,5.0,8.5,4.0,2.0,H,1,1,4,4,0,0,78,11,2,0,9,4,1,0,78,11
18/01/2023,2022,Crystal Palace,Man United,4.5,3.6,1.8,1.0,1.0,D,1,2,1,7,0,2,44,11,2,1,4,4,0,1,44,11
15/01/2023,2022,Tottenham,Arsenal,3.1,3.6,2.2,0.0,2.0,A,1,2,5,7,0,1,67,0,3,0,7,2,2,0,67,0
15/01/2023,2022,Newcastle,Fulham,1.5,4.33,6.5,1.0,0.0,H,2,0,5,0,1,0,56,44,2,1,5,2,1,0,56,44
15/01/2023,2022,Chelsea,Crystal Palace,1.62,4.0,5.25,1.0,0.0,H,1,2,2,2,1,0,50,25,2,1,4,2,1,0,50,25
14/01/2023,2022,Brentford,Bournemouth,1.65,4.0,5.25,2.0,0.0,H,1,0,6,4,1,0,44,44,0,3,3,9,0,2,44,44
14/01/2023,2022,Wolves,West Ham,2.63,3.3,2.7,1.0,0.0,H,0,3,2,6,0,1,22,22,0,2,3,6,0,1,22,22
14/01/2023,2022,Nott'm Forest,Leicester,2.7,3.3,2.63,2.0,0.0,H,1,0,4,3,0,0,33,33,2,1,5,2,2,0,33,33
14/01/2023,2022,Everton,Southampton,2.25,3.25,3.3,1.0,2.0,A,0,3,2,8,0,2,22,22,0,3,2,6,0,1,22,22
14/01/2023,2022,Brighton,Liverpool,3.4,3.6,2.1,3.0,0.0,H,1,2,7,7,1,1,38,25,2,1,6,5,1,1,38,25
14/01/2023,2022,Man United,Man City,4.2,3.6,1.85,2.0,1.0,H,3,0,7,0,2,0,75,12,3,0,5,1,1,0,75,12
