Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
18/09/2022,2022,Palmeiras,Santos,1.38,4.64,8.69,1.0,0.0,H,2,0,6,2,1,0,62,23,0,2,1,3,0,0,62,23
18/09/2022,2022,Juventude,Fortaleza,3.32,3.14,2.27,1.0,1.0,D,0,1,3,4,0,0,15,38,2,1,3,2,0,0,15,38
18/09/2022,2022,America MG,Corinthians,2.21,3.06,3.57,1.0,0.0,H,2,0,4,1,1,0,54,23,0,1,2,3,0,0,54,23
18/09/2022,2022,Flamengo RJ,Fluminense,1.67,3.7,5.29,1.0,2.0,A,2,0,10,2,2,0,67,17,0,2,2,6,0,1,67,17
18/09/2022,2022,Ceara,Sao Paulo,2.6,3.01,2.92,0.0,2.0,A,1,1,2,2,0,0,23,46,0,2,1,3,0,0,23,46
18/09/2022,2022,Bragantino,Goias,1.45,4.3,7.31,1.0,1.0,D,1,0,4,3,0,0,46,31,2,1,3,4,0,1,46,31
17/09/2022,2022,Botafogo RJ,Coritiba,1.55,3.9,6.33,2.0,0.0,H,0,1,0,1,0,0,23,31,0,3,2,8,0,2,23,31
17/09/2022,2022,Avai,Atletico-MG,4.48,3.38,1.86,1.0,0.0,H,0,1,2,3,0,0,38,31,2,0,4,1,1,0,38,31
11/09/2022,2022,Goias,Flamengo RJ,5.71,3.94,1.59,1.0,1.0,D,2,0,4,2,0,0,42,42,2,0,4,1,1,0,42,42
11/09/2022,2022,Sao Paulo,Corinthians,2.46,2.89,3.3,1.0,1.0,D,1,2,3,3,1,1,42,33,1,1,3,3,0,0,42,33
11/09/2022,2022,Coritiba,Atletico GO,2.2,3.14,3.49,2.0,0.0,H,1,2,2,3,0,0,54,15,0,2,2,6,0,1,54,15
11/09/2022,2022,Botafogo RJ,America MG,2.03,3.25,3.89,0.0,0.0,D,0,1,1,2,0,0,25,25,2,0,3,1,0,0,25,25
11/09/2022,2022,Avai,Athletico-PR,3.24,3.04,2.37,1.0,1.0,D,0,2,2,4,0,0,42,25,1,1,3,7,0,1,42,25
11/09/2022,2022,Palmeiras,Juventude,1.17,6.8,16.67,2.0,1.0,H,2,0,6,2,1,0,58,25,0,3,0,6,0,1,58,25
10/09/2022,2022,Fluminense,Fortaleza,1.7,3.58,5.24,2.0,1.0,H,2,0,7,3,1,0,62,15,3,0,3,0,0,0,62,15
10/09/2022,2022,Internacional,Cuiaba,1.6,3.62,6.39,1.0,0.0,H,3,0,10,0,3,0,58,33,0,2,1,3,0,0,58,33
10/09/2022,2022,Ceara,Santos,2.14,3.02,3.83,2.0,1.0,H,0,2,1,3,0,0,17,50,1,1,2,2,0,0,17,50
07/09/2022,2022,Atletico-MG,Bragantino,1.67,3.67,5.46,1.0,1.0,D,0,3,3,6,0,0,42,25,0,3,1,6,0,1,42,25
06/09/2022,2022,Santos,Goias,1.59,3.83,5.85,1.0,2.0,A,2,0,5,2,1,0,50,33,1,1,4,6,0,1,50,33
04/09/2022,2022,Cuiaba,Sao Paulo,2.32,2.81,3.69,1.0,1.0,D,1,1,1,1,0,0,25,50,0,2,3,5,0,0,25,50
04/09/2022,2022,Atletico GO,Atletico-MG,4.31,3.39,1.88,0.0,2.0,A,1,1,3,3,0,0,33,25,1,1,2,4,0,1,33,25
04/09/2022,2022,Fortaleza,Botafogo RJ,1.7,3.47,5.44,1.0,3.0,A,2,0,4,0,1,0,25,50,0,2,2,5,0,1,25,50
04/09/2022,2022,Corinthians,Internacional,2.39,2.94,3.38,2.0,2.0,D,2,1,2,1,0,0,67,25,1,2,2,5,0,1,67,25
04/09/2022,2022,Flamengo RJ,Ceara,1.35,4.78,9.07,1.0,1.0,D,3,0,13,1,3,0,73,9,0,1,2,3,0,0,73,9
04/09/2022,2022,America MG,Coritiba,1.67,3.58,5.56,2.0,0.0,H,2,0,5,2,1,0,50,25,0,3,3,9,0,2,50,25
03/09/2022,2022,Bragantino,Palmeiras,2.63,3.02,2.87,2.0,2.0,D,2,0,4,2,0,0,50,25,2,0,4,2,0,0,50,25
03/09/2022,2022,Athletico-PR,Fluminense,3.14,3.27,2.31,1.0,0.0,H,2,0,6,2,1,0,55,36,1,1,5,7,0,1,55,36
03/09/2022,2022,Juventude,Avai,2.24,3.08,3.48,1.0,1.0,D,1,1,3,3,0,0,17,33,0,2,2,5,0,1,17,33
30/08/2022,2022,Corinthians,Bragantino,2.04,3.05,4.18,1.0,0.0,H,2,1,4,2,1,0,64,27,0,3,2,7,0,1,64,27
30/08/2022,2022,Internacional,Juventude,1.43,4.38,7.65,4.0,0.0,H,2,0,9,3,2,0,55,36,0,3,0,6,0,1,55,36
28/08/2022,2022,Cuiaba,Santos,2.35,2.89,3.5,0.0,0.0,D,1,1,2,2,0,0,27,45,1,1,2,2,0,0,27,45
28/08/2022,2022,Botafogo RJ,Flamengo RJ,4.75,3.59,1.75,0.0,1.0,A,1,0,3,1,1,0,27,27,2,0,5,2,1,0,27,27
28/08/2022,2022,Sao Paulo,Fortaleza,1.94,3.28,4.17,0.0,1.0,A,1,1,6,5,1,1,45,36,2,1,3,2,0,0,45,36
28/08/2022,2022,America MG,Atletico-MG,5.4,3.68,1.66,1.0,1.0,D,2,1,4,2,1,0,55,18,1,1,2,4,0,1,55,18
28/08/2022,2022,Ceara,Athletico-PR,1.77,3.51,4.75,0.0,0.0,D,1,2,2,3,0,0,18,45,1,2,3,9,0,2,18,45
27/08/2022,2022,Fluminense,Palmeiras,3.02,3.16,2.44,1.0,1.0,D,3,0,8,3,1,0,67,8,3,0,4,1,0,0,67,8
27/08/2022,2022,Goias,Atletico GO,2.67,3.02,2.83,2.0,1.0,H,1,1,4,4,0,0,36,45,0,2,2,8,0,2,36,45
27/08/2022,2022,Coritiba,Avai,1.94,3.33,4.08,1.0,0.0,H,1,2,2,3,0,0,50,17,0,2,2,5,0,1,50,17
23/08/2022,2022,Avai,Internacional,3.66,3.18,2.13,0.0,1.0,A,1,1,3,3,0,0,45,27,0,2,1,5,0,1,45,27
21/08/2022,2022,Santos,Sao Paulo,2.41,3.03,3.21,1.0,0.0,H,2,0,5,2,1,0,45,36,0,1,3,4,0,0,45,36
21/08/2022,2022,Fortaleza,Corinthians,1.93,3.22,4.39,1.0,0.0,H,1,0,3,0,1,0,18,55,1,1,4,5,0,1,18,55
21/08/2022,2022,Bragantino,Ceara,1.85,3.38,4.55,1.0,1.0,D,3,0,7,1,1,0,55,18,0,2,2,4,0,0,55,18
21/08/2022,2022,Atletico GO,Cuiaba,2.21,2.97,3.76,1.0,1.0,D,1,2,2,3,0,0,36,18,0,3,0,3,0,0,36,18
21/08/2022,2022,Athletico-PR,America MG,1.85,3.48,4.33,1.0,1.0,D,2,0,5,1,1,0,60,30,2,1,2,1,0,0,60,30
21/08/2022,2022,Palmeiras,Flamengo RJ,2.01,3.38,3.8,1.0,1.0,D,3,0,6,1,1,0,64,18,2,1,4,2,1,0,64,18
21/08/2022,2022,Juventude,Botafogo RJ,2.44,3.08,3.09,2.0,2.0,D,1,1,1,1,0,0,18,27,0,3,0,5,0,2,18,27
20/08/2022,2022,Fluminense,Coritiba,1.37,4.75,8.46,5.0,2.0,H,3,0,5,2,0,0,64,9,0,3,1,6,0,2,64,9
20/08/2022,2022,Atletico-MG,Goias,1.22,6.14,12.81,0.0,1.0,A,0,2,3,5,0,0,45,27,0,1,3,6,0,1,45,27
