Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
22/01/2023,2022,Seraing,Anderlecht,5.25,4.0,1.55,0,1,A,0,2,2,4,0,0,0,20,1,0,2,1,0,0,0,20
22/01/2023,2022,Antwerp,Standard,1.67,3.6,4.75,4,1,H,1,1,3,3,1,1,80,10,0,1,1,3,0,1,80,10
21/01/2023,2022,St. Gilloise,Oud-Heverlee Leuven,1.5,4.5,5.25,1,0,H,2,0,6,1,2,0,70,20,1,1,4,4,0,0,70,20
21/01/2023,2022,Oostende,Cercle Brugge,3.0,3.4,2.1,1,2,A,1,2,4,6,1,1,40,0,1,1,3,3,0,0,40,0
21/01/2023,2022,Mechelen,Kortrijk,1.75,3.5,4.2,3,2,H,1,0,5,4,0,0,45,27,1,2,5,7,0,1,45,27
21/01/2023,2022,Waregem,Westerlo,2.88,3.4,2.2,1,1,D,1,1,7,8,1,1,30,10,2,0,4,1,1,0,30,10
19/01/2023,2022,St Truiden,Club Brugge,3.5,3.5,2.0,1,1,D,1,1,2,1,1,0,33,22,0,2,3,7,0,2,33,22
19/01/2023,2022,Gent,Charleroi,1.55,4.2,5.25,0,0,D,2,0,4,1,1,0,60,20,1,2,4,9,0,2,60,20
18/01/2023,2022,Kortrijk,Seraing,1.85,3.75,3.8,3,2,H,1,1,2,5,0,1,20,20,1,2,3,8,0,1,20,20
18/01/2023,2022,Anderlecht,Waregem,1.5,4.5,5.25,2,3,A,1,2,5,7,1,2,40,10,0,2,2,5,0,1,40,10
18/01/2023,2022,Oostende,Antwerp,4.2,3.8,1.75,0,3,A,2,1,6,4,1,0,44,0,0,1,5,7,0,1,44,0
18/01/2023,2022,Cercle Brugge,St. Gilloise,3.3,3.5,2.05,1,1,D,2,1,6,3,1,0,44,33,3,0,8,4,1,0,44,33
17/01/2023,2022,Westerlo,Genk,3.3,3.75,2.0,2,3,A,1,1,10,5,1,0,50,20,2,1,5,2,2,0,50,20
17/01/2023,2022,Standard,Mechelen,1.85,3.6,3.8,2,0,H,1,1,8,4,1,0,50,20,1,2,6,5,1,2,50,20
17/01/2023,2022,Oud-Heverlee Leuven,Eupen,1.62,4.0,4.75,1,1,D,1,1,8,4,1,0,44,11,1,1,8,9,0,1,44,11
15/01/2023,2022,Charleroi,Cercle Brugge,2.63,3.3,2.63,2,1,H,1,2,1,6,0,1,30,10,1,0,3,2,0,0,30,10
